,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
428,1,0,3.700448817952717,0,1,78,2632,150.0,8783
429,1,0,3.700448817952717,0,49,92,254,300.0,2866
430,1,0,3.3,4,49,14,2632,100.0,8783
431,1,0,3.4,12,32,78,1326,300.0,8783
432,1,0,3.700448817952717,0,32,0,254,150.0,6926
433,1,0,3.9,14,32,27,2136,600.0,7167
434,1,0,3.7,0,32,78,1941,300.0,1152
435,1,0,2.8,5,13,92,2415,199.0,8783
436,1,0,3.3,5,4,28,2477,800.0,8783
437,1,0,3.5,15,1,78,2158,250.0,8783
438,1,0,3.4,4,4,27,2012,500.0,8783
439,1,0,3.700448817952717,0,57,46,2333,250.0,8783
440,1,0,3.6,17,4,78,839,300.0,8783
441,1,0,3.3,6,1,78,2469,500.0,3232
442,1,0,3.4,10,1,78,2381,100.0,8783
443,1,1,4.1,775,1,27,2091,800.0,8783
444,1,1,4.2,2022,32,27,2136,1000.0,8783
445,1,0,3.700448817952717,0,4,78,1761,100.0,8783
446,1,1,4.2,150,1,19,719,600.0,2428
447,1,0,4.0,232,4,27,1834,750.0,8783
448,1,0,3.9,38,4,78,792,200.0,8783
449,1,1,3.5,431,32,27,1761,800.0,8783
450,1,1,4.2,2115,1,27,2262,800.0,8783
451,1,0,3.4,30,84,78,1247,200.0,8783
452,1,0,4.2,150,32,27,1761,800.0,2898
453,1,0,3.3,12,49,78,812,200.0,8783
454,1,0,3.8,155,32,27,2489,450.0,8783
455,1,0,3.7,33,4,78,1215,200.0,8783
456,1,1,4.1,666,32,28,65,1000.0,8783
457,1,0,3.700448817952717,0,32,78,1301,200.0,7128
458,1,0,3.9,240,4,19,557,700.0,8783
459,1,0,3.8,918,1,22,743,800.0,8783
460,1,0,4.0,465,32,27,2489,600.0,4765
461,1,1,4.1,970,32,69,1995,1500.0,8783
462,1,0,3.3,128,1,78,1834,300.0,8783
463,1,0,3.6,241,49,78,1834,300.0,8783
464,1,0,3.4,22,1,78,2381,200.0,8783
465,1,0,4.3,734,1,78,2489,200.0,5505
466,1,0,3.8,130,32,78,1802,400.0,8783
467,1,0,4.2,261,32,19,630,700.0,8783
468,1,0,4.0,191,49,78,2490,300.0,207
469,1,0,4.1,364,4,27,2429,550.0,221
470,1,0,3.8,133,1,78,1661,300.0,8783
471,1,0,3.9,888,1,27,2169,750.0,4755
472,1,0,3.1,13,1,19,615,400.0,8783
473,1,0,3.9,750,4,27,1951,500.0,5842
474,1,1,4.2,164,1,19,615,500.0,8783
475,1,0,3.2,6,1,39,2591,200.0,6577
476,1,0,3.8,527,4,27,1761,500.0,8783
477,0,0,4.3,345,1,40,1449,400.0,8783
478,0,0,4.4,356,1,88,1686,150.0,8783
479,1,0,3.7,17,1,40,1159,400.0,6948
480,1,0,3.9,38,1,40,1442,150.0,3154
481,0,0,3.7,78,1,3,254,150.0,8783
482,0,0,3.8,60,1,40,254,400.0,8783
483,1,0,4.0,115,1,88,1699,400.0,7319
484,0,0,3.8,39,1,0,263,300.0,8783
485,1,0,3.9,116,1,40,1452,400.0,4588
486,1,0,3.8,918,1,22,743,800.0,8783
487,0,0,3.7,46,1,90,1699,400.0,8783
488,1,0,3.9,41,1,40,1153,300.0,8783
489,1,0,3.8,144,1,19,817,700.0,8783
490,0,0,3.8,28,1,16,1535,150.0,8783
491,1,0,4.3,860,1,40,1178,500.0,8783
492,0,0,3.5,14,1,88,1699,200.0,8783
493,0,0,4.0,66,1,0,263,300.0,8783
494,1,0,3.2,8,1,88,1699,100.0,705
495,1,0,3.7,54,1,16,1164,400.0,8783
496,0,0,3.5,7,1,40,1153,500.0,8783
497,0,0,3.2,9,1,40,1442,300.0,8783
498,0,0,3.6,42,1,17,360,300.0,8783
499,0,0,3.8,64,1,78,1222,250.0,8783
500,1,0,3.6,14,1,0,263,350.0,7847
501,0,0,3.8,45,1,92,254,400.0,8783
502,0,0,3.2,11,1,19,578,600.0,8783
503,0,0,3.5,13,1,0,263,300.0,8783
504,0,0,3.4,7,1,40,1449,150.0,8783
505,0,0,3.4,8,1,0,263,400.0,8783
506,0,0,3.700448817952717,0,1,40,1686,150.0,8783
507,0,0,3.700448817952717,0,1,0,254,300.0,8783
508,0,0,2.9,25,1,40,1449,200.0,8783
509,0,0,3.2,17,1,40,1178,150.0,8783
510,0,0,3.700448817952717,0,1,39,263,500.0,8783
511,0,0,3.700448817952717,0,1,88,1686,300.0,8783
512,0,0,3.700448817952717,0,1,38,1153,200.0,8783
513,1,0,3.9,35,1,39,263,500.0,2796
514,1,0,3.9,70,1,40,1277,400.0,8783
515,0,0,4.0,98,4,90,1702,400.0,8783
516,0,0,3.7,25,4,40,1449,250.0,8783
517,1,0,4.0,219,4,19,712,600.0,8395
518,1,0,4.0,73,4,0,285,300.0,5272
519,0,0,3.6,16,4,6,297,150.0,8783
520,0,0,3.6,8,4,0,263,250.0,8783
521,1,0,3.8,15,4,0,254,400.0,8783
522,0,0,3.6,46,4,90,1699,200.0,8783
523,0,0,3.700448817952717,0,4,0,263,300.0,8783
524,1,0,3.3,13,4,47,1185,300.0,7455
525,1,0,3.3,9,4,40,1153,250.0,994
526,1,0,4.0,43,4,40,1178,250.0,1290
527,1,0,2.7,97,4,27,2489,400.0,8783
528,0,0,3.700448817952717,0,29,40,1442,200.0,8783
